Event,Type
Become ios certified for free,Certifications
Become microsoft azure associate.,Certifications
Professional certification in cloud computing,Certifications
Online certifications for free!!!,Certifications
Oracle certification is here!!!,Certifications
Apply for the trending certifications of 2019,Certifications
Top IT certifications are in your way,Certifications
Workshop on Hardware Description Languages for FPGA Design By University Of Colorado,Workshops
Get certified from top institutes.,Certifications
Become google cloud certified in this lockdown,Certifications
Gain the Cloud Advantage: Level-up Your (or Your Teams') Skills with Microsoft Azure Role-Based Certifications,Certifications
Get Introduced to the Next-Level Cisco Certifications,Certifications
 How to Get CISSP Certified: 2020 Edition,Certifications
Webinar on changing software architecture in it industry,Webinars
webinar on How To Build a Computer: A Beginner's Guide,Webinars
Online session on Beyond Arduino: Electronics for Developers & Makers - (GPIO),Webinars
Apple Certified Macintosh Technician (ACMT),Certifications
Boost Your Team's Knowledge with ITIL 4 Certification,Certifications
Expert lecture on Embedded Software and Hardware Architecture By University of Colorado,Talks
talk on CISSP Certification Prep: Security and Risk Management,Certifications
Live session on 3D Printing Hardware By University Of Illionis,Webinars
"The NEW CompTIA Network+ ""007"" Certification",Certifications
SuryaKranti Solar Challenge India ,Competitions
Creative Writing Contest 2020 ,Competitions
BICSI ITS Technician Training,Training
Alibaba Cloud Shapeup the eCommerce with Technology challenge,Competitions
"Webinar on 2020 Ultimate Guide to Raspberry Pi : Tips, Tricks and Hacks",Webinars
Arduino Bootcamp : Learning Through Projects,Workshops
Cohesity TopCoder Challenge,Competitions
IG PAN India Contest,Competitions
Microcontroller Embedded C Programming: absolute beginners,Courses
Alibaba Cloud Championship,Competitions
Open Contest - Code Gladiators 2019,Competitions
ContiQuest - Quest for Tech Thirst,Competitions
Techquiz is live now!!!,Competitions
Can you solve this quiz on IOT,Competitions
participate in National skill test,Competitions
Creating Social Media content contest with exiting prizes,Competitions
Blog writing contest: Exciting New cash prize,Competitions
Quiz series on C++ fundamentals,Competitions
Exciting challenges for hackers,Competitions
Compete in innovation challenge with great ideas,Competitions
Code  Battle Begin !!!!,Competitions
Scholarship test for cs students,Competitions
Talk on Embedded Linux Step by Step using Beaglebone Black,Talks
showcase your cool projects in this project competetion,Competitions
Innovate in covid-19,Competitions
Hvac global innovation challenge ,Competitions
Nae disha dyankatta online competition,Competitions
2020 international design competition,Competitions
3 days to go for Hackwithinfy contest ,Competitions
get your brilliant ideas in this innovation challenge,Competitions
Participate in our latest Coding contest: 'Hack The Interview',Competitions
Participate in national coding test now!!!,Competitions
Web Vulnerability Assessment and Penetration Testing (CVPS) Course In GHaziabad Noida Delhi ,Courses
Free C language course ,Courses
Python 3 Complete Beginners Course 2020 ,Courses
Learn to Design Your Own Boards,Courses
"From Wire to PLC , A Bootcamp In Industrial Automation",Workshops
Free demo on SSRS course ,Courses
Ethical hacking-(CEH) Course In GHaziabad Noida Delhi ,Courses
Basic electronics for Arduino Makers,Courses
BEST SAP COURSE IN COIMBATORE ,Courses
Arduino Step by Step Getting Serious,Courses
Mastering RTOS: Hands on FreeRTOS and STM32Fx with Debugging,Courses
Online classes on Android,Courses
Process Visualization with HMI / SCADA (PLC III),Courses
Logic Development classes!join today,Courses
Great opportunity to learn AI,Courses
Training on Oracle Big Data,Courses
Learn Basics of IOS (Swift) in one week,Courses
Learn Basics of Android,Courses
2020 July to Dec semester - courses open for enrollment!,Courses
Hurry up! Get registered for ethical hacking course,Courses
Want to learn java? do take this course!,Courses
Free course on Machine learning.,Courses
One week course on IoT,Courses
10 days course on python.,Courses
Become webmaster in one week.,Courses
Learn basics of networking.,Courses
Become Data Analyst in one month.,Courses
Take the course of ML and upgrade your skills,Courses
Upgrade your skills with Big data course,Courses
Learn python for free,Courses
Boost your skills by this course,Courses
Free courses on data science,Courses
Practical PLC Programming (PLC II),Courses
Trending courses of 2020.,Courses
Opportunity to learn blockchain basics from experts.,Courses
learn cybersecurity skills in 15 days,Courses
Live online classes for AI enthusiaists,Courses
Upgrade your skills during this covid period,Courses
Try this brand new course on cybersecurity.,Courses
Ethical hacking courses are live now!,Courses
Try out excellent courses on artificial intelligence,Courses
Are you a AI enthusiast??? Learn from here,Courses
5 Steps to Master Microsoft Excel: Workbooks,Courses
Learn Citrix Workspace: How to Architecture Microapps,Courses
Learn Creating a Windows Virtual Machine in Microsoft Azure in 10 days,Courses
Learn How to Deploy Microsoft SQL in the Cloud,Courses
Upscale Your Adobe Photoshop Skills with New Artificial Intelligence Features,Courses
7 Citrix Secrets: How to Upskill Your Citrix Skills,Courses
Learn How to Build Step-by-Step ASP.NET Core App,Courses
10 Reasons to learn on Microsoft Dynamics 365,Courses
learn 7 Strategies for Achieving Customer Service Excellence,Courses
 Get Started with Microsoft 365 and be an expert ,Courses
Expert lecture on Mastering Microcontroller with Embedded Driver Development,Talks
Mastering Microsoft Teams - The Future of Teamwork,Courses
grab this chance to learn Cloud Computing Migration Plan: What You Must Know,Courses
Exploring the New Office 365,Courses
Get Started with Python Programming,Courses
 Master Agile Scrum and its Benefits by this course,Courses
PowerPoint 2016: 10 Tips to Master Presentations,Courses
master Office 365 Design Insights,Courses
Tutorial on The Five Phases of Ethical Hacking,Courses
"tutorial on Numerical Programming: Understanding Python, Numpy & Matplotlib",Courses
Tech Expo 2020 ,Expos
Google Applied CS: Android Development using data structure expo,Expos
HOTWAX Industrial expo,Expos
Kirloskar Industrial expo,Expos
event for Project Managers in Artificial Intelligence ,Expos
one day event on Critical Thinking: Developing Problem-Solving & Decision-Making Skills,Expos
tech expo on Ethical Hacking: Enumeration 2020,Expos
IT Pros: What's New in Windows Server 2019 exhibition,Expos
live expo on Microsoft Word Essentials: Tips and Tricks for Better Productivity,Expos
"online event on Malware Affecting IoT & Smart Devices: Detection, Prevention, and Removal",Expos
"Grand event on SharePoint 2019 ""Wow"" | First Look at new SharePoint 2019",Expos
ASP.NET Functions on Microsoft Azure 2 days expo,Expos
Baoan Industry Development Expo,Expos
International Conference and Exhibition on Aerospace & Aeronautical Engineering,Expos
Transform (The AI event of the year),Expos
Internet of Things Expo (IOTx),Expos
AI Expo Africa,Expos
Industrial AI & Expo,Expos
AI & Smart Home Expo Osaka,Expos
Technology Supply Chain Conference & Exposition (Technology Supply Chain Con),Expos
BIGIT - Annual Data Science Conference & Exhibition (BIGIT The 7th Annual Data Science Show),Expos
International Conference and Exhibition on Robotics and Artificial Intelligence,Expos
China International Smart Energy and Energy Data Center and Network Information Security Equipment Exhibition (SEDCISE),Expos
Artificial Intelligence Exhibition & Conference (AI EXPO),Expos
Industrial AI/IoT Expo,Expos
International Expo on Robotics Automation AI And Analytics (RobotAI Expo),Expos
Pakistan CIO Summit & Expo (PCSE),Expos
Middle East Cloud & Big Data Conference and Exhibition,Expos
Army Autonomy and Artificial Intelligence Symposium and Exposition (Army Autonomy and Artificial Intelligence Symposiu),Expos
Smart IoT Taiwan (SIoT),Expos
Accelerate AI Career Lab & Expo,Expos
"International Exhibition of Electronic, Computer & E - Commerce",Expos
Smart Home Expo (SHE),Expos
PLC Programming From Scratch (PLC I),Courses
Arduino Step by Step: Getting Started,Courses
Career expo,Expos
Arduino Step by Step: Getting Started,Courses
Australia studies fair in your college!!!,Expos
Annual Diversity Employment Day Career Fair and Roundtables,Expos
PLC Programming From Scratch (PLC I),Courses
expo to the  Security Threats,Expos
INDIA INTERNATIONAL HOSPITALITY EXPO 2020 ,Expos
YouthFest is here!!!,Fests
Tech fest 2021 is here,Fests
Avishkar is here with full of new events,Fests
Biggest tech festival is coming back!!!,Fests
Contribute for this awesome IT fest,Fests
India's first virtual EDM festival is here,Fests
Techlligent 2020 is on!!!,Fests
Spectrum 2018 with exiciting events is on fire!!!,Fests
Kpit sparkle 2019 is back with innovative ideas!!!,Fests
The most awaited it festival is here,Fests
Avishkar is back with interesting events,Fests
INNOVISION 2020,Fests
codefest 2020,Fests
Smart city festival is awaiting!!,Fests
Trishul'20 ,Fests
Entrepreneurial Extravaganza festival,Fests
Technothlon 2020 ,Hackathon
Technothlon 2020 ,Hackathon
Techniche 20 ,Hackathon
UiPath Hiring Challenge- Code Your Way In,Hackathon
CrowdStrike Hackathon - Every Second Counts,Hackathon
Lowe’s Campus Hackathon,Hackathon
Alibaba  India Hackathon,Hackathon
exciting Hackathon,Hackathon
Register for CODE4AVAILITY,Hackathon
Location Services Campus Hackathon is live now!!!,Hackathon
Voice Based Payments Hackathon,Hackathon
DevOps Hackathon,Hackathon
The Expert Coder ,Hackathon
try for CAMPUS - CODE STACK19,Hackathon
NEC Open Innovation Hackathon,Hackathon
HERE-a-thon 1 is waiting for you!!,Hackathon
BMC Software Code Warriors,Hackathon
Cognizant Azure Hackathon,Hackathon
Participate in CODE4HealthAsyst ,Hackathon
CodeExpedition: DestinationExpedia,Hackathon
Prime Code Champ 7,Hackathon
Beginner Code Champ 7,Hackathon
HONCODE Challenge,Hackathon
Alexa Skill Pro Challenge,Hackathon
Informatica Code-a-Thon 2018,Hackathon
Honeywell CODE2HON,Hackathon
CODE4VFSGLOBAL,Hackathon
TECHCON 2,Hackathon
TechGig Hour of Code,Hackathon
MagicFiserv Hackathon (Code Challenge),Hackathon
CA Technologies  Combat,Hackathon
Temenos Game of Codes,Hackathon
Hack4Her,Hackathon
Cybage Code Wars,Hackathon
Appathon Season 1,Hackathon
Fareportal Hire-A-Thon 2.0,Hackathon
Nucleus Software - HackBattle,Hackathon
CashKaro App-A-Thon,Hackathon
Amazon Code Combat,Hackathon
Mypoolin Code Contest,Hackathon
The Opus Code Rush 2016,Hackathon
Hour Of Code Challenge,Hackathon
BankBazaar's Coding Samurai,Hackathon
Roposo CodePlay Data Structures,Hackathon
Varanasi -  Internships by capegemini,Internships
Intern with us with this amazing offer. ,Internships
10 Days drone internship ,Internships
Apply for the Machine learning internship!!,Internships
10 hours bootcamp on Introduction to Computer Hardware: Components & Peripherals,Workshops
Looking for internship in blockchain !!!,Internships
The New Fundamentals of Management workshop (6 Course Bundle),Workshops
hands on experience in Blockchain with experts,Internships
work on live projects and get a certificate,Internships
Work on live projects with global parterns,Internships
Special talk on The Complete Product Management ,Talks
Register for webinar on The Project Management  Beginner to PROject Manager,Webinars
"Working opportunity with Walls, Floors, and Roofs in Autodesk Revit",Internships
internship program for  a Full-stack .NET Developer?,Internships
work live on Google Cloud Fundamentals: Core Infrastructure,Internships
work on live projects in Machine Learning  Foundations,Internships
internship opportunities in  Web Design: Wireframing,Internships
CodeSpeedy Technology Private Limited is looking for: MachineLearning  Internship.,Internships
See more jobs like Technogeekscs -  Machine Learning Institute - Internship Program,Internships
Ansys is looking for: Software Development Intern.,Internships
All You Need is looking for: Digital Marketing Intern.,Internships
Architecting for Security on AWS internship for you,Internships
Website designing company in delhi is hiring,Jobs
BVOP Certified Project Manager,Certifications
Project Management Certificate (PMC),Certifications
PMI Risk Management Professional (PMI-RMP),Certifications
Agile Crash Course: Agile Project Management; Agile Delivery,Courses
Opportunity to interact with indusrtry experts on job openings ,Jobs
Attention jobseekers!!!Your wait is over,Jobs
great job opportunities for data scientists.,Jobs
need for a cloud professional,Jobs
need for Microsoft Cloud Developer,Jobs
Explore the Ways to Navigate Your Career in Cybersecurity,Jobs
Recruitment for Cybersecurity Analyst (CySA+): Threat Management,Jobs
recruitment for SQL Server 2017: Indexing for Higher Performance,Jobs
SQL Server 2017: Application Development Best Practices recruitment opportunities,Jobs
Big Data for Enterprise: Managing Data and Values jobs are awaiting,Jobs
DevOps Foundations: Lean and Agile roles to work,Jobs
Business Acumen for Project Managers roles are hiring ,Jobs
Career openings for IoT enthusiasts,Jobs
Keeping up with Networking Series roles,Jobs
Certified Project Management Practitioner (CPMP),Certifications
5 Most In-Demand Cyber Security Roles,Jobs
Check Out Top Companies Hiring Now!,Jobs
Cracking Careers in Data Science,Jobs
3 days hands on session forEmbedded Hardware and Operating Systems By EIT Digital ,Workshops
Talk on Bag scholarships for studying abroad!,Talks
Master Class on Studying in the UAE is going *LIVE* in 10 minutes! Grab your seat,Talks
Hear from experts When to go for study abroad: Spring or Fall?,Talks
Live session on What is the cost of studying abroad?,Talks
IG LIVE talk on - University & Alumni Updates | Imperial,Talks
Expert lecture on GATE exam preparation,Talks
Confirm your Seat  for Webinar - Study in UAE,Talks
Study Medicine in UK - Live Talk with UClan starting in 30 minutes,Talks
Planning to give your GRE Exam soon?register for this talk ,Talks
Webtrackker Review talks,Talks
Talk on CYBER SECURITY - Ethical Hacking ,Talks
Become part of talk on Big Data & Hadoop,Talks
"A speech on innovation by Dr. Mahesh Panchagnula, Professor of Applied Mechanics, IIT Madras",Talks
"A motivational speech by Dr. L.S. Ganesh, Professor of Management Studies, IIT Madras",Talks
Lecture on MANAGEMENT ETHOS – ANCIENT INDIAN KNOWLEDGE PERSPECTIVE by Prof. Rani Sadasiva Murty ,Talks
Colloquium talk on “Cryptography and it Applications in Information and Cyber Security” by Dr. Vishal Sgaraswat.,Talks
"Talk on ""Cyber Security - Overview, Incidents Services, Risks in Evolving Technologies & Trends"" by Sachidananda S Javli, Director – Cyber Security, PwC India.",Talks
"Talk on ""Cloud Computing and DevOps"" by Jitendra Thethi, AVP of Technology, Innovation at Aricent.",Talks
A special lecture titled ‘Technology Careers in a Hyperconnected World’ by Mr. K. Ananth Krishnan,Talks
Expert lecture on Analytics in the Cloud with Tableau on AWS,Talks
Live lecture on Why your Organization needs to Migrate on Microsoft Teams,Talks
Talk on Tips and Tricks to Build Effective Dashboards with Tableau Desktop,Talks
 talk on Data Warehousing and Analytics in  Microsoft Azure,Talks
trending disscussion on Why IT Professionals Must have Critical Thinking Skills for Better Productivity at Work?,Talks
most common discussion onWhy Citrix ADC is Important for IT Organizations & Professionals in the Hybrid and Multi-cloud World?,Talks
hear experts talk on How Big Data is Driving Business Transformation,Talks
Expert Lecture on IOT,Talks
Expert Lecture on Front End Technologies,Talks
Expert Lecture on IOT,Talks
Widen your career opportunities with ReactJS Training ,Training
Web Developer Training ,Training
VMware online |  training ,Training
" Programming Foundations Training with JavaScript, HTML and CSS by Duke University ",Training
JavaScript Introduction Certification by W3C,Certifications
" HTML, CSS, and Javascript for Web Developers Training by Johns Hopkins",Training
 Interactivity with JavaScript by University of Michigan Training for free,Training
 Programming for the Web with JavaScript by University of Pennsylvania certification,Certifications
Exclusive talk on Modern JavaScript From The Beginning ,Talks
Webinar on  ES6 Javascript: The Complete Developer’s Guide ,Webinars
 JavaScript Essential Certification (LinkedIn Learning – Lynda),Certifications
The Complete JavaScript Course 2019: Build Real Projects!,Courses
online session Essentials in JavaScript ES6 - A Fun and Clear Introduction,Webinars
JavaScript Essentials 2019 Mini Course,Courses
The Complete Full-Stack JavaScript Course!,Courses
START YOUR CAREER WITH ANGULARJS  AT MINDMAJIX ,Jobs
START YOUR CAREER WITH Javascript  AT MINDMAJIX ,Jobs
Spring cloud training- Free demo ,Training
Software Development Training ,Training
Certified Associate in Project Management (CAPM),Certifications
Servicenow Asset Management training FREE Demo ,Training
Selenium with python training ,Training
Selenium Training using C++,Training
Association of International Product Marketing and Management (AIPMM) Certified Brand Manager,Certifications
 American Management Association :Certificate in Analytical Skills,Certifications
Python Training ,Training
C++ Training  for free,Training
PMP Project Management Professional,Certifications
Online NLP Training Using Python ,Training
Online Live Training Program - Web Development | ,Training
Online Live Training Program - Python Programming |  ,Training
Online Live Training Program - Machine Learning |,Training
Online Live Training Program - Internet of Things |,Training
Online Live Training Program - Data Science | ,Training
Online Live Training Program - Cybersecurity |  ,Training
Online Live Training Program - Android Development | ,Training
JavaScript Bootcamp - Build Real World Applications,Workshops
Vue.js Fast Crash Course,Courses
The Complete Node.js Developer Course (3rd Edition),Courses
MongoDB Training - Free demo ,Training
Mindmajix Provides .NET Training Online with a FREE Demo ,Training
JavaScript For Beginners - Learn JavaScript From Scratch,Courses
Microsoft Azure Training Provided by Industry Experts ,Training
Microsoft Azure Training by Real Time Experts ,Training
jQuery workshop : JavaScript and AJAX Coding Bible,Workshops
Microsoft Azure Training ,Training
JavaScript 2019: JavaScript ES6 training,Training
Microsoft Azure and Web Services Online Training ,Training
Microsoft Certified Solutions Associate (MCSA: Web Applications) Exam 70-480: Programming in HTML5 with JavaScript and CSS3,Certifications
Linux Training In Hyderabad ,Training
Linux Security Fundamentals Training ,Training
Linux Online Training by Industry Experts ,Training
Linux Networking Training ,Training
Learn Best AWS Training in Chennai ,Training
CIW JavaScript Specialist,Certifications
Kubernetes Training ,Training
Microsoft Technology Associate (MTA) Exam 98-382: Introduction to Programming Using JavaScript,Certifications
Keras Certification Course with Deeep Learning ,Training
Join Free demo on java scripting Training ,Training
Certified JavaScript Developer,Certifications
IronPython Training at Mindmajix ,Training
AWS Networking in depth: Learn practically in 7 hours,Courses
Learn OSI 7 Layers and Networking Background Concepts,Courses
The JavaScript Developer Certificate,Certifications
BUILD YOUR CAREER WITH ANGULARJS  AT MINDMAJIX ,Jobs
Big Data Online Training ,Training
AWS Training in Bangalore ,Training
AWS Training in Ahmadabad ,Training
Learn IT Networking Fundamentals For Complete Beginners,Courses
CNP - Certified Network Principles certificate,Certifications
Attend a Free Demo on Oracle Fusion SCM Training ,Training
Appium Online Training with a FREE Demo ,Training
Apigee online training ,Training
Alter your career oracle EBS Training ,Training
Ai With Tensorflow Training - Free demo ,Training
Advanced Research Publications Technology Management ,Training
Advance Your Career with Oracle SOA Training ,Training
Advace your career with sharepoint online training ,Training
Adobe analytical Training - Free Demo ,Training
Accelerate your career with Netsuite Certification Training ,Training
ACCELERATE YOUR CAREER WITH ANGULARJS TRAINING AT MINDMAJIX ,Training
Learn IT Networking Fundamentals For Complete Beginners,Courses
CNP - Certified Network Principles certificate,Certifications
"Register For Siebel CRM Free Live Webinar On 5th July, 7:00 PM (IST) ",Webinars
Free Live Webinar on Salesforce Admin -  Salesforce Admin in 60 Minutes ,Webinars
Free Live Webinar on Hyperion Financial  ,Webinars
Free Live Webinar on Catia - Learn Catia in 60 Minutes ,Webinars
Webinar on DigitalTransformation by Xpanxion on 23rd June '2020 at 3:30 pm,Webinars
"Webinar on 20 June with Lipika Dey:""Text Analytics for Health Care""",Webinars
"Webinar on 16 June with AbhiramRanade: ""Love CS, Learn CS!""",Webinars
Webinar on IOT applications in Industry 4.0,Webinars
Live Webinar with UClan starting in 30 minutes,Webinars
" Webinar on 9 June with AnuradhaLaxminarayan: ""7 Secrets about Programming that No Teacher/Book Ever ToldYou!""",Webinars
PRTG Network Monitoring Course,Courses
"Webinar on 2 June with SridharChimalakonda: ""What Is Software Engineering Anyway""?",Webinars
 Webinar - Study in UAE,Webinars
Exclusive Webinar on ?Best language for competitive programming ? Reserve your seat today!,Webinars
"Register for ACM India Industry Webinar 6 June with Chitra Lele:""Drug Development and Lifecycle Maintenance--What's It Got to Do withComputing?",Webinars
 Webinar on -Research Documentation tools - LyX andJabRef,Webinars
Join us for a Webinar Session on key takeaways from a Pre-placementtalk,Webinars
"ACM India Industry Webinar with Madhav Marathe, 25 April 2020",Webinars
Google Applied CS: Android Development using data structure online conference,Webinars
attend the online conference on Oracle Data Analytics,Webinars
RBCDSAI's International Summit on AI ,Webinars
A brand new lecture series from NPTEL by experts!,Webinars
Aws cloud 3 day online conference ,Webinars
Session on Present Your Data Effectively With Microsoft Excel and PowerPoint,Webinars
special session on Adobe Illustrator Fundamentals - Walkthrough of the Latest Features and Best Practices,Webinars
Live session Secrets to Become a Network Engineer in a Programmable Age,Webinars
webinar on The Future of IT Service Management (ITSM) with ITIL 4,Webinars
Penetrating Networks for CompTIA PenTest+ webinar,Webinars
